Model,Set,ROC-AUC,PR-AUC,F1,Precision,Recall,Accuracy
XGBoost,Val,0.5889630594085524,0.12918662830830563,0.10933333333333334,0.18981481481481483,0.07677902621722846,0.8733889310083397
XGBoost,Test,0.35933284033072366,0.08240545895401044,0.05161290322580645,0.06726457399103139,0.0418702023726448,0.8328278999241849
CatBoost,Val,0.6242847208071312,0.13326879355584215,0.12662521198417184,0.15977175463623394,0.10486891385767791,0.8535822592873389
CatBoost,Test,0.40912806262142176,0.08402208615698609,0.036075430445476904,0.029649595687331536,0.046057222609909285,0.7326004548900682
