iter	Logloss
0	0.6706743063
1	0.6502154758
2	0.6381808402
3	0.6219725048
4	0.6165229707
5	0.609931151
6	0.5994103619
7	0.5940314228
8	0.5892819621
9	0.5870227308
10	0.581561632
11	0.5773404071
12	0.5745001536
13	0.5735751453
14	0.5718403413
15	0.5711568055
16	0.5707533882
17	0.5702959438
18	0.5692341822
19	0.5688391383
20	0.5686607055
21	0.5683578323
22	0.5677901769
23	0.5675335371
24	0.5669271688
25	0.5637225273
26	0.5635673516
27	0.5634132469
28	0.5578560206
29	0.5574962199
30	0.551978469
31	0.5519067773
32	0.550778768
33	0.5450652348
34	0.5388397259
35	0.5329070071
36	0.5281666284
37	0.5230058936
38	0.5188155452
39	0.5126714981
40	0.5124955325
41	0.5042549022
42	0.5010222172
43	0.4957275359
44	0.495090519
45	0.494989199
46	0.4916981739
47	0.4912521103
48	0.4911127148
49	0.4901388617
50	0.4897941932
51	0.4896668594
52	0.4895875823
53	0.4889877616
54	0.4886661037
55	0.4861851698
56	0.485156341
57	0.485072868
58	0.4830281208
59	0.4808073401
60	0.480470123
61	0.4778158428
62	0.4776951823
63	0.47743957
64	0.4748113637
65	0.4734337455
66	0.4733665932
67	0.4733078638
68	0.4721189804
69	0.472057805
70	0.4713535225
71	0.4712933093
72	0.4693937552
73	0.4689730498
74	0.4672085995
75	0.4666448838
76	0.4649598944
77	0.4644036596
78	0.4637631044
79	0.4632058438
80	0.4624716159
81	0.4613275777
82	0.460575502
83	0.4598930935
84	0.4598453753
85	0.4598242616
86	0.4583090073
87	0.458256662
88	0.4576994174
89	0.4575545792
90	0.4571086392
91	0.4563922727
92	0.4553993917
93	0.4552506006
94	0.4544040115
95	0.4538931399
96	0.4538041638
97	0.4537677446
98	0.4527598403
99	0.4519430451
100	0.4507973724
101	0.4496919062
102	0.448667602
103	0.4479343922
104	0.4479209671
105	0.4478994623
106	0.445995398
107	0.4458096456
108	0.4444986092
109	0.4444428849
110	0.443407482
111	0.4426329891
112	0.4420186817
113	0.4414472221
114	0.4407276223
115	0.4402069398
116	0.4391464541
117	0.4383873532
118	0.4381674855
119	0.4364116789
120	0.4359692574
121	0.4356905451
122	0.4356479909
123	0.4356127353
124	0.4353566374
125	0.4352757675
126	0.4352635419
127	0.4352260982
128	0.4348916856
129	0.4348677348
130	0.4345928707
131	0.4330644976
132	0.4322752552
133	0.4315619227
134	0.431181042
135	0.4308808695
136	0.4308419661
137	0.4306912312
138	0.4306487019
139	0.4305913037
140	0.4303171278
141	0.4297741775
142	0.4297441487
143	0.429187256
144	0.4289351185
145	0.4286199019
146	0.4285297826
147	0.4283377302
148	0.4278513226
149	0.427471124
